"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
1809,"Tomcat 3","Config","dev","RESOLVED","FIXED","Fix AJP13 in server.xml section in mod_jk.howto.html","2004-11-16 19:05:38","2001-05-18 07:56:45"
3726,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Content-Type not settable from a forwarded servlet","2004-11-16 19:05:38","2001-09-19 11:11:16"
5390,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","jsp-file and load-on-startup and init-param does not work.","2004-11-16 19:05:38","2001-12-12 12:09:23"
5958,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","Wrong mod_jk.conf for path pattern","2004-11-16 19:05:38","2002-01-22 16:08:43"
6369,"Tomcat 3","Unknown","dev","RESOLVED","LATER","jk_nt_service.exe does not set exit code","2005-03-20 17:06:12","2002-02-11 16:17:04"
3902,"Tomcat 3","Unknown","dev","RESOLVED","WORKSFORME","lib/apps jar files","2004-11-16 19:05:38","2001-10-01 10:05:22"
3256,"Tomcat 3","Auth","dev","RESOLVED","FIXED","tomcatAuthentication=""false"" does not appear to disable tomcat authentication","2004-11-16 19:05:38","2001-08-24 05:12:10"
3598,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","AccessLogInterceptor throws NPE","2004-11-16 19:05:38","2001-09-13 20:37:01"
4564,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","request.getRemoteAddr() and AccesLog not working","2004-11-16 19:05:38","2001-11-01 07:50:18"
28921,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","Tomcat fails on JDK 1.1.x","2006-03-12 15:29:39","2004-05-12 05:37:38"
5252,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","JSP + TagExtraInfo issue","2004-11-16 19:05:38","2001-12-03 14:38:02"
6214,"Tomcat 3","Config","dev","RESOLVED","FIXED","Problems on ClientAuth","2005-03-20 17:06:12","2002-02-04 10:36:56"
3309,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Cannot use pre-compiled jsp as welcome page","2005-03-20 17:06:12","2001-08-28 10:13:41"
3483,"Tomcat 3","Config","dev","RESOLVED","FIXED","-ajpid option ignored when starting Tomcat (3.3b2)","2004-11-16 19:05:38","2001-09-06 22:46:42"
2682,"Tomcat 3","Config","dev","RESOLVED","FIXED","discrepency with ajp12.id file location","2004-11-16 19:05:38","2001-07-18 15:37:58"
4967,"Tomcat 3","Config","dev","RESOLVED","WORKSFORME","ArrayIndexOutOfBoundsException in SimpleMapper1","2004-11-16 19:05:38","2001-11-20 03:42:14"
5994,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","HTTP date headers not set correctly [patch included]","2004-11-16 19:05:38","2002-01-23 23:21:06"
9362,"Tomcat 3","Jasper","dev","RESOLVED","WORKSFORME","compiilation of JSP that includes a non-existant file dies without error message","2004-11-16 19:05:39","2002-05-23 18:20:18"
1854,"Tomcat 3","Config","dev","RESOLVED","INVALID","Mapping a servlet to the root of the site results in NPE","2004-11-16 19:05:38","2001-05-22 05:25:30"
3905,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","request.getIntputStream()/Reader.close() problem.","2004-11-16 19:05:38","2001-10-01 10:32:55"
1418,"Tomcat 3","Servlet","dev","CLOSED","REMIND","TomcatLogger thread is never shutdown","2004-11-16 19:05:38","2001-04-19 17:22:52"
3604,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","/etc/rc.d scripts and stop command","2004-11-16 19:05:38","2001-09-14 01:29:59"
1056,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","Jikes Compiler code fails under unix -patch","2004-11-16 19:05:38","2001-03-20 17:27:35"
3498,"Tomcat 3","Config","dev","RESOLVED","FIXED","Tomcat ignores org.apache.tomcat.common.classpath and org.apache.tomcat.apps.classpath properties","2004-11-16 19:05:38","2001-09-07 09:35:33"
4313,"Tomcat 3","Config","dev","RESOLVED","FIXED","server.xml variable substitution broken","2004-11-16 19:05:38","2001-10-21 06:04:37"
5005,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","/a/b/c/nonexistent.jsp -> a file and directory chain created. attack risk","2004-11-16 19:05:38","2001-11-21 08:49:05"
5479,"Tomcat 3","Webapps","dev","RESOLVED","DUPLICATE","HttpRequest.getRemoteAddr() returns localhost invoking a jsp or servlet directly, without a connected web server","2004-11-16 19:05:38","2001-12-18 02:47:40"
3944,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","request.getRemoteAddr() always returning 127.0.0.1","2004-11-16 19:05:38","2001-10-03 09:19:49"
3467,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","worker.properties swallows my first worker (mod_jk)","2004-11-16 19:05:38","2001-09-06 11:08:18"
3608,"Tomcat 3","Encoding","dev","RESOLVED","DUPLICATE","invalid parameter parsing","2004-11-16 19:05:38","2001-09-14 03:47:33"
4826,"Tomcat 3","Config","dev","RESOLVED","FIXED","Can't configure AutoWebApp dir to absolute value on Windows","2005-03-20 17:06:12","2001-11-13 01:36:28"
5773,"Tomcat 3","Config","dev","RESOLVED","FIXED","WebXmlReader keeps warnings to itself","2004-11-16 19:05:38","2002-01-09 17:12:15"
2629,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Apache user not passed to Principal","2004-11-16 19:05:38","2001-07-13 23:08:23"
4154,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","AccessLogInterceptor not working?","2004-11-16 19:05:38","2001-10-14 03:26:50"
2982,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","security permissions not passed to generated JSP class","2005-03-20 17:06:12","2001-08-03 11:07:53"
3566,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","System.err and System.out > /dev/null ?","2004-11-16 19:05:38","2001-09-12 07:26:48"
4382,"Tomcat 3","Config","dev","RESOLVED","FIXED","Starting up twice prevents stopping","2004-11-16 19:05:38","2001-10-23 17:10:28"
11150,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","shutdown fails with AJP12 disabled","2004-11-16 19:05:39","2002-07-24 23:00:58"
5532,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","underscore is wrong","2005-03-20 17:06:12","2001-12-20 03:11:13"
3985,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","got NullPointerException","2004-11-16 19:05:38","2001-10-05 01:23:12"
7794,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","Common.ClassLoader and Apps.ClassLoader not loading .zip files","2004-11-16 19:05:39","2002-04-06 15:10:19"
3870,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Warning: validation was turned on but an org.xml.sax.ErrorHandler was not","2005-03-20 17:06:12","2001-09-28 10:09:35"
3176,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","Cant have a backslash ('\')as the last character in tag attribute","2005-03-20 17:06:12","2001-08-20 07:40:49"
3581,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Ctx() : Error creating validation mark  - java.io.FileNotFoundException","2004-11-16 19:05:38","2001-09-13 05:52:34"
4436,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","DecodeInterceptor writes to log on every call.","2005-03-20 17:06:12","2001-10-25 18:20:29"
28590,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","ClassLoader is wrong after jsp:include","2004-11-16 19:05:41","2004-04-26 08:03:44"
6139,"Tomcat 3","Webapps","dev","RESOLVED","DUPLICATE","Jars in WEB-INF/lib are not always reloaded when context is removed and added again","2004-11-16 19:05:38","2002-01-30 23:49:39"
24998,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","Seem to experiencing problems with sessions with multiple connects through a proxy","2004-11-16 19:05:41","2003-11-26 01:14:10"
3479,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","""GET"" parameter names with no value are concatenated incorrectly","2004-11-16 19:05:38","2001-09-06 17:10:12"
2235,"Tomcat 3","Connectors","dev","CLOSED","LATER","mod_jk: use of unparsed_uri breaks URL rewriting","2004-11-16 19:05:38","2001-06-19 07:39:51"
3727,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","path_info may get lost","2004-11-16 19:05:38","2001-09-19 11:38:55"
6263,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","java.lang.UnsatisfiedLinkError using lotus.domino classes","2004-11-16 19:05:38","2002-02-06 09:07:12"
